emp_no,first_name,last_name,gender,birth_date,hire_date,salary,title,from_date,t_to_date,de_to_date,de_dept_no,d_dept_no,dept_name
262928,Piyush,Gill,M,1965-01-01,1990-08-31,40000,Senior Engineer,1998-08-31,9999-01-01,9999-01-01,d006,d006,Quality Management
105342,Kwun,Reeker,F,1965-01-01,1997-01-20,61529,Technique Leader,1999-07-29,9999-01-01,9999-01-01,d006,d006,Quality Management
252185,Chaosheng,Conta,F,1965-01-01,1986-09-09,44552,Engineer,2002-04-14,9999-01-01,9999-01-01,d006,d006,Quality Management
287482,Shigeaki,Gihr,F,1965-01-01,1993-10-23,63479,Senior Engineer,2002-03-18,9999-01-01,9999-01-01,d006,d006,Quality Management
40765,Michaela,Ramsak,F,1965-01-01,1991-01-19,51758,Senior Staff,2001-12-21,9999-01-01,9999-01-01,d008,d008,Research
10476,Kokou,Iisaka,M,1965-01-01,1987-09-20,58221,Senior Staff,1994-09-20,9999-01-01,9999-01-01,d008,d008,Research
74668,Masako,Bonifati,F,1965-01-01,1987-04-09,56031,Senior Staff,1987-04-09,9999-01-01,9999-01-01,d007,d007,Sales
473268,Hugo,Sgarro,M,1965-01-01,1992-04-24,55564,Senior Staff,1992-04-24,9999-01-01,9999-01-01,d007,d007,Sales
477350,Terresa,Vigier,M,1965-01-01,1998-07-08,47167,Staff,1998-07-08,9999-01-01,9999-01-01,d007,d007,Sales
105520,Haldun,Lienhardt,M,1965-01-01,1987-01-29,71995,Senior Staff,1987-01-29,9999-01-01,9999-01-01,d007,d007,Sales
94416,Aran,Cesareni,F,1965-01-01,1989-08-04,61048,Senior Staff,1990-02-10,9999-01-01,9999-01-01,d007,d007,Sales
240438,Temple,Cyre,M,1965-01-02,1992-06-05,62140,Senior Staff,1999-10-01,9999-01-01,9999-01-01,d009,d009,Customer Service
475965,Rimon,Pietracaprina,M,1965-01-02,1985-07-10,40000,Senior Engineer,1990-07-10,9999-01-01,9999-01-01,d005,d005,Development
497174,Sanjiv,Bressoud,M,1965-01-02,1991-05-09,45255,Senior Engineer,1998-04-27,9999-01-01,9999-01-01,d005,d005,Development
55687,Shih,Lindqvist,M,1965-01-02,1989-11-04,40000,Senior Engineer,1995-03-29,9999-01-01,9999-01-01,d005,d005,Development
413729,Harjit,Ernst,M,1965-01-02,1992-04-26,40000,Technique Leader,1992-04-26,9999-01-01,9999-01-01,d005,d005,Development
224135,Annemarie,Bressoud,F,1965-01-02,1998-06-23,43178,Engineer,1998-06-23,9999-01-01,9999-01-01,d005,d005,Development
77030,Faiza,Garnham,F,1965-01-02,1986-03-02,47503,Technique Leader,1986-03-02,9999-01-01,9999-01-01,d005,d005,Development
37945,Suzette,Butterworth,M,1965-01-02,1987-11-21,40000,Senior Engineer,1994-02-19,9999-01-01,9999-01-01,d005,d005,Development
285906,Arnould,Buescher,M,1965-01-02,1994-12-26,49297,Engineer,1998-03-26,9999-01-01,9999-01-01,d005,d005,Development
203495,Zongyan,Gips,M,1965-01-02,1986-02-07,40000,Technique Leader,1997-05-31,9999-01-01,9999-01-01,d005,d005,Development
71745,Adil,Laventhal,M,1965-01-02,1992-05-13,40000,Engineer,2001-05-13,9999-01-01,9999-01-01,d005,d005,Development
432665,Flemming,Driscoll,M,1965-01-02,1989-10-27,42199,Senior Engineer,1999-06-28,9999-01-01,9999-01-01,d005,d005,Development
451272,Jacopo,Krohm,M,1965-01-02,1987-11-13,50905,Senior Engineer,1997-04-23,9999-01-01,9999-01-01,d005,d005,Development
71141,Sajjad,Vitiello,F,1965-01-02,1992-02-17,40000,Senior Staff,1997-02-16,9999-01-01,9999-01-01,d003,d003,Human Resources
60821,Moty,Mersereau,F,1965-01-02,1991-09-03,44481,Senior Staff,1999-09-03,9999-01-01,9999-01-01,d003,d003,Human Resources
421384,Renny,Bednarek,M,1965-01-02,1987-06-01,40000,Senior Staff,1995-06-01,9999-01-01,9999-01-01,d003,d003,Human Resources
416877,Gio,Orsini,M,1965-01-02,1988-12-07,82181,Senior Staff,1993-12-07,9999-01-01,9999-01-01,d001,d001,Marketing
247875,Xiong,Anick,M,1965-01-02,1991-04-23,77461,Senior Staff,1991-04-23,9999-01-01,9999-01-01,d001,d001,Marketing
243018,Bowen,Deverell,F,1965-01-02,1991-12-14,62716,Senior Staff,1998-12-27,9999-01-01,9999-01-01,d001,d001,Marketing
467886,Sivanarayana,Chandrasekhar,M,1965-01-02,1996-01-24,66865,Senior Staff,1996-01-24,9999-01-01,9999-01-01,d001,d001,Marketing
230865,Takushi,Brattka,M,1965-01-02,1988-03-08,61136,Staff,1999-03-09,9999-01-01,9999-01-01,d001,d001,Marketing
427852,Adil,Kieras,F,1965-01-02,1988-05-13,48349,Senior Engineer,1992-07-20,9999-01-01,9999-01-01,d004,d004,Production
108316,Shai,Stellhorn,F,1965-01-02,1992-05-21,40000,Senior Engineer,1992-05-21,9999-01-01,9999-01-01,d004,d004,Production
201915,Sudharsan,DeMori,M,1965-01-02,1991-05-03,62133,Senior Engineer,1997-03-30,9999-01-01,9999-01-01,d004,d004,Production
418380,Kazuhiko,Gornas,F,1965-01-02,1992-04-04,41525,Senior Engineer,1993-05-20,9999-01-01,9999-01-01,d004,d004,Production
76189,Kolar,Hinsberger,F,1965-01-02,1986-10-20,47490,Senior Engineer,1994-10-20,9999-01-01,9999-01-01,d004,d004,Production
17206,Berry,DeMori,M,1965-01-02,1986-02-25,40000,Senior Engineer,1998-12-27,9999-01-01,9999-01-01,d004,d004,Production
288563,Cristinel,Gerlach,M,1965-01-02,1996-01-09,40000,Senior Engineer,2001-01-08,9999-01-01,9999-01-01,d004,d004,Production
23396,Hilari,Fairtlough,F,1965-01-02,1986-11-11,55806,Technique Leader,1986-12-15,9999-01-01,9999-01-01,d004,d004,Production
454825,Kamakshi,Schusler,F,1965-01-02,1995-05-25,55857,Senior Engineer,2001-05-24,9999-01-01,9999-01-01,d004,d004,Production
217551,Panayotis,Lukaszewicz,F,1965-01-02,1986-08-25,41730,Senior Engineer,1995-06-06,9999-01-01,9999-01-01,d004,d004,Production
76640,Tristan,Mitsuhashi,M,1965-01-02,1989-02-18,40000,Senior Engineer,2000-07-12,9999-01-01,9999-01-01,d006,d006,Quality Management
296687,Palash,Spieker,M,1965-01-02,1991-02-27,40000,Senior Staff,1996-05-10,9999-01-01,9999-01-01,d008,d008,Research
478218,Djenana,Erol,M,1965-01-02,1992-08-01,65244,Engineer,1999-01-31,9999-01-01,9999-01-01,d008,d008,Research
433059,Bojan,Montresor,M,1965-01-02,1990-03-07,83650,Staff,1995-02-04,9999-01-01,9999-01-01,d007,d007,Sales
405015,Morris,Fargier,M,1965-01-02,1988-06-29,72535,Senior Staff,1996-06-29,9999-01-01,9999-01-01,d007,d007,Sales
109620,Mani,Cannata,F,1965-01-02,1989-06-21,68293,Senior Staff,1995-06-21,9999-01-01,9999-01-01,d007,d007,Sales
285164,Xiaocheng,Kumaresan,F,1965-01-02,1991-11-28,91283,Staff,1994-10-03,9999-01-01,9999-01-01,d007,d007,Sales
71188,Pranjal,Schapiro,M,1965-01-02,1986-12-14,64557,Senior Staff,1993-12-14,9999-01-01,9999-01-01,d007,d007,Sales
39952,Otmar,Sudbeck,M,1965-01-02,1988-04-20,80468,Staff,1998-07-22,9999-01-01,9999-01-01,d007,d007,Sales
36626,Fen,Genin,M,1965-01-02,1986-05-09,48437,Senior Staff,1986-05-09,9999-01-01,9999-01-01,d007,d007,Sales
278549,Jaana,Werthner,M,1965-01-02,1989-07-27,89009,Senior Staff,1997-07-27,9999-01-01,9999-01-01,d007,d007,Sales
47016,Toong,Litecky,F,1965-01-03,1989-03-01,58961,Senior Staff,1994-03-01,9999-01-01,9999-01-01,d009,d009,Customer Service
18583,Stafford,Honglei,F,1965-01-03,1990-12-18,40000,Staff,1998-08-16,9999-01-01,9999-01-01,d009,d009,Customer Service
453154,Gao,Lally,F,1965-01-03,1996-03-01,40000,Staff,1996-03-01,9999-01-01,9999-01-01,d009,d009,Customer Service
439905,Kousuke,Levasseur,F,1965-01-03,1988-07-14,56753,Senior Staff,1996-03-15,9999-01-01,9999-01-01,d009,d009,Customer Service
461801,Sumali,Cooman,M,1965-01-03,1992-02-16,59006,Senior Staff,2000-02-16,9999-01-01,9999-01-01,d009,d009,Customer Service
467918,Tsuneo,Skrikant,F,1965-01-03,1989-08-18,40000,Staff,1997-10-21,9999-01-01,9999-01-01,d009,d009,Customer Service
229386,Pohua,Tasistro,F,1965-01-03,1989-06-02,60980,Technique Leader,1989-06-02,9999-01-01,9999-01-01,d009,d009,Customer Service
282585,Zijian,Lammel,F,1965-01-03,1993-04-28,43246,Staff,1996-07-01,9999-01-01,9999-01-01,d009,d009,Customer Service
425437,Moni,Staudhammer,M,1965-01-03,1995-11-15,43287,Engineer,1999-03-23,9999-01-01,9999-01-01,d005,d005,Development
256881,Ioana,Jakobus,M,1965-01-03,1987-10-09,45924,Senior Engineer,1999-08-10,9999-01-01,9999-01-01,d005,d005,Development
103316,Susanne,Peternell,M,1965-01-03,1985-05-22,45189,Senior Engineer,1999-07-27,9999-01-01,9999-01-01,d005,d005,Development
429569,Fumiya,Chappelet,F,1965-01-03,1992-09-03,47441,Engineer,1999-09-04,9999-01-01,9999-01-01,d005,d005,Development
440435,Sandeepan,Rosti,F,1965-01-03,1991-11-26,40000,Senior Engineer,1991-11-26,9999-01-01,9999-01-01,d005,d005,Development
444487,Udi,Rullman,F,1965-01-03,1994-04-09,40000,Senior Engineer,1994-04-09,9999-01-01,9999-01-01,d005,d005,Development
204425,Gretta,Huttel,F,1965-01-03,1986-09-01,40000,Senior Engineer,1990-10-08,9999-01-01,9999-01-01,d005,d005,Development
79606,Arnd,Peir,F,1965-01-03,1986-12-11,50381,Senior Engineer,1986-12-11,9999-01-01,9999-01-01,d005,d005,Development
14075,Denny,Tchuente,M,1965-01-03,1989-09-01,40000,Engineer,1998-05-30,9999-01-01,9999-01-01,d005,d005,Development
412757,Leen,Peak,F,1965-01-03,1999-05-22,40000,Engineer,1999-11-20,9999-01-01,9999-01-01,d005,d005,Development
265039,Navid,Staudhammer,F,1965-01-03,1992-10-18,71928,Senior Staff,2000-10-18,9999-01-01,9999-01-01,d002,d002,Finance
425540,Paddy,Zumaque,F,1965-01-03,1990-07-07,53256,Senior Staff,1995-11-12,9999-01-01,9999-01-01,d002,d002,Finance
14104,Sudhanshu,Demian,M,1965-01-03,1986-01-02,40327,Senior Staff,1999-07-23,9999-01-01,9999-01-01,d003,d003,Human Resources
201229,Alejandra,Khasidashvili,M,1965-01-03,1988-07-07,49086,Staff,1994-07-30,9999-01-01,9999-01-01,d003,d003,Human Resources
256856,Hongzue,Barbanera,M,1965-01-03,1987-06-17,40000,Senior Staff,1995-06-17,9999-01-01,9999-01-01,d003,d003,Human Resources
90692,Rajmohan,DasSarma,M,1965-01-03,1985-09-14,40000,Senior Staff,1990-09-14,9999-01-01,9999-01-01,d001,d001,Marketing
256888,Heather,Pehl,F,1965-01-03,1993-09-15,50006,Staff,1993-09-15,9999-01-01,9999-01-01,d001,d001,Marketing
482755,Jouni,Conia,M,1965-01-03,1986-03-07,77972,Senior Staff,1999-10-31,9999-01-01,9999-01-01,d001,d001,Marketing
416892,Shooichi,Vandervoorde,M,1965-01-03,1985-04-25,55754,Engineer,1996-08-16,9999-01-01,9999-01-01,d004,d004,Production
414543,Bernd,Anick,F,1965-01-03,1985-09-25,68487,Senior Engineer,1988-11-19,9999-01-01,9999-01-01,d004,d004,Production
421755,Shichao,Thiria,M,1965-01-03,1989-01-11,49914,Senior Engineer,2001-01-10,9999-01-01,9999-01-01,d004,d004,Production
478768,Arun,Katzenelson,M,1965-01-03,1991-10-28,67237,Senior Engineer,1997-10-27,9999-01-01,9999-01-01,d004,d004,Production
496970,Giordano,Maquelin,F,1965-01-03,1986-08-06,58910,Senior Engineer,1999-12-31,9999-01-01,9999-01-01,d004,d004,Production
479024,Ewing,Kalorkoti,F,1965-01-03,1994-03-13,60882,Engineer,1996-12-21,9999-01-01,9999-01-01,d004,d004,Production
483838,Sham,Kavanagh,F,1965-01-03,1985-10-28,40000,Assistant Engineer,1997-12-18,9999-01-01,9999-01-01,d004,d004,Production
441954,Leszek,Marchegay,F,1965-01-03,1995-05-18,42564,Engineer,1999-06-13,9999-01-01,9999-01-01,d004,d004,Production
49177,Tze,Bach,M,1965-01-03,1995-04-16,44995,Engineer,1999-03-09,9999-01-01,9999-01-01,d004,d004,Production
418239,Josyula,Motley,M,1965-01-03,1992-09-05,65620,Senior Engineer,1992-09-05,9999-01-01,9999-01-01,d004,d004,Production
415187,Juyoung,Peltason,M,1965-01-03,1985-08-04,57432,Assistant Engineer,1998-09-01,9999-01-01,9999-01-01,d004,d004,Production
103342,Beshir,Hellwagner,M,1965-01-03,1989-05-30,40000,Engineer,1998-02-03,9999-01-01,9999-01-01,d006,d006,Quality Management
235793,Jayesh,Spinelli,F,1965-01-03,1992-07-18,61027,Senior Engineer,1992-07-18,9999-01-01,9999-01-01,d006,d006,Quality Management
102620,Adin,Templeman,M,1965-01-03,1995-10-19,45060,Engineer,1997-12-10,9999-01-01,9999-01-01,d006,d006,Quality Management
78363,Susumu,Fritzsche,M,1965-01-03,1998-06-23,40030,Engineer,1998-06-23,9999-01-01,9999-01-01,d006,d006,Quality Management
284561,Duri,Beznosov,F,1965-01-03,1988-02-15,50960,Senior Engineer,1988-02-15,9999-01-01,9999-01-01,d006,d006,Quality Management
290478,Tsvetan,Sherertz,F,1965-01-03,1989-08-07,54683,Engineer,1998-08-07,9999-01-01,9999-01-01,d006,d006,Quality Management
476055,Girolamo,Schlumberger,F,1965-01-03,1993-03-07,40000,Senior Staff,1998-03-07,9999-01-01,9999-01-01,d008,d008,Research
480178,Uinam,Rahier,F,1965-01-03,1991-02-10,55930,Senior Staff,1996-02-10,9999-01-01,9999-01-01,d008,d008,Research
417435,Bouchung,Zaumen,M,1965-01-03,1992-05-28,88979,Senior Staff,1999-01-29,9999-01-01,9999-01-01,d007,d007,Sales
263370,Shakhar,Ranze,M,1965-01-03,1994-04-30,76883,Staff,1999-05-29,9999-01-01,9999-01-01,d007,d007,Sales
452957,Alair,Nanard,M,1965-01-03,1996-02-10,60350,Staff,1996-02-10,9999-01-01,9999-01-01,d007,d007,Sales
277316,Vitali,Rothenberg,M,1965-01-03,1989-10-04,86493,Senior Staff,1998-10-04,9999-01-01,9999-01-01,d007,d007,Sales
262328,Mayuko,Vural,F,1965-01-03,1988-11-04,63741,Staff,1997-12-24,9999-01-01,9999-01-01,d007,d007,Sales
228554,Bilhanan,Brendel,F,1965-01-03,1990-12-23,71741,Senior Staff,1990-12-23,9999-01-01,9999-01-01,d007,d007,Sales
203474,Hugh,Jonsson,M,1965-01-03,1991-07-06,71401,Senior Staff,1997-07-05,9999-01-01,9999-01-01,d007,d007,Sales
229547,Moni,Schach,M,1965-01-03,1986-07-04,61762,Senior Staff,1991-07-04,9999-01-01,9999-01-01,d007,d007,Sales
296428,Charmane,Simmen,F,1965-01-03,1989-03-07,62557,Senior Staff,1997-03-07,9999-01-01,9999-01-01,d007,d007,Sales
450888,Sedat,Rande,F,1965-01-03,1994-10-20,55308,Senior Staff,2001-03-24,9999-01-01,9999-01-01,d007,d007,Sales
10095,Hilari,Morton,M,1965-01-03,1986-07-15,63668,Senior Staff,2000-03-09,9999-01-01,9999-01-01,d007,d007,Sales
263926,Fusako,Schwartzbauer,F,1965-01-03,1985-04-07,43694,Senior Staff,1993-04-07,9999-01-01,9999-01-01,d007,d007,Sales
264322,Leandro,Swist,F,1965-01-03,1991-01-06,58053,Senior Staff,1997-01-05,9999-01-01,9999-01-01,d007,d007,Sales
442002,Ravishankar,Baig,M,1965-01-03,1992-03-17,72966,Senior Staff,2000-03-17,9999-01-01,9999-01-01,d007,d007,Sales
36733,Uma,Reinhard,M,1965-01-04,1993-01-22,40000,Staff,1997-11-01,9999-01-01,9999-01-01,d009,d009,Customer Service
289807,Soenke,Lemarechal,F,1965-01-04,1994-09-04,40000,Senior Staff,2000-09-03,9999-01-01,9999-01-01,d009,d009,Customer Service
92438,Aria,Kilgore,M,1965-01-04,1986-05-18,54543,Senior Engineer,1996-02-28,9999-01-01,9999-01-01,d009,d009,Customer Service
83509,Breannda,Collavizza,M,1965-01-04,1989-10-12,40000,Senior Engineer,1994-10-12,9999-01-01,9999-01-01,d005,d005,Development
91182,Lucien,Schwartzburd,F,1965-01-04,1988-08-25,44702,Senior Engineer,1994-08-25,9999-01-01,9999-01-01,d005,d005,Development
295278,Val,Barvinok,M,1965-01-04,1990-01-02,51829,Senior Engineer,2000-01-02,9999-01-01,9999-01-01,d005,d005,Development
247612,Chiranjit,Constantine,F,1965-01-04,1988-07-26,40000,Engineer,1997-05-25,9999-01-01,9999-01-01,d005,d005,Development
292515,Bernd,Thummel,M,1965-01-04,1985-12-30,40000,Engineer,1998-08-03,9999-01-01,9999-01-01,d005,d005,Development
262752,Pramod,Bierman,M,1965-01-04,1997-02-02,63602,Engineer,1997-12-12,9999-01-01,9999-01-01,d005,d005,Development
213384,Pranas,Narwekar,F,1965-01-04,1985-09-26,41608,Senior Engineer,1993-09-26,9999-01-01,9999-01-01,d005,d005,Development
284691,Theron,Ressouche,F,1965-01-04,1987-09-23,40000,Senior Engineer,1994-08-17,9999-01-01,9999-01-01,d005,d005,Development
442653,Mona,Hebden,M,1965-01-04,1990-04-17,64003,Engineer,1995-10-20,9999-01-01,9999-01-01,d005,d005,Development
58990,Palash,Trelles,M,1965-01-04,1998-11-18,47785,Engineer,1998-11-18,9999-01-01,9999-01-01,d005,d005,Development
291669,Faiza,Bach,F,1965-01-04,1985-08-24,59691,Engineer,1999-09-13,9999-01-01,9999-01-01,d005,d005,Development
249799,Jolita,Neimat,M,1965-01-04,1991-12-13,41338,Senior Engineer,1999-12-27,9999-01-01,9999-01-01,d005,d005,Development
205500,Mary,Setiz,F,1965-01-04,1989-01-13,40000,Senior Engineer,1989-01-13,9999-01-01,9999-01-01,d005,d005,Development
31147,Divine,Sidhu,M,1965-01-04,1989-07-05,54305,Senior Staff,1989-07-05,9999-01-01,9999-01-01,d002,d002,Finance
435289,Feixiong,Schurmann,M,1965-01-04,1987-02-15,78074,Senior Staff,1993-02-14,9999-01-01,9999-01-01,d001,d001,Marketing
294527,Ashish,Candan,F,1965-01-04,1986-06-28,62362,Senior Staff,1992-02-02,9999-01-01,9999-01-01,d001,d001,Marketing
66382,Domenico,Candan,F,1965-01-04,1986-03-15,55428,Engineer,1997-07-13,9999-01-01,9999-01-01,d004,d004,Production
402664,Subhada,Janetzko,F,1965-01-04,1987-01-25,43122,Senior Engineer,1987-01-25,9999-01-01,9999-01-01,d004,d004,Production
295255,Jacopo,Bellone,M,1965-01-04,1988-03-13,42789,Technique Leader,1988-03-13,9999-01-01,9999-01-01,d004,d004,Production
280648,Heeju,Lorys,M,1965-01-04,1986-12-27,61217,Senior Engineer,1992-12-26,9999-01-01,9999-01-01,d004,d004,Production
35044,Jiang,Waschkowski,F,1965-01-04,1988-04-03,52310,Senior Engineer,1997-05-27,9999-01-01,9999-01-01,d004,d004,Production
265521,Kensei,Salverda,M,1965-01-04,1987-12-13,52088,Senior Engineer,2001-05-25,9999-01-01,9999-01-01,d004,d004,Production
262636,Tamiya,Reutenauer,F,1965-01-04,1985-06-02,62056,Senior Engineer,1985-06-02,9999-01-01,9999-01-01,d004,d004,Production
476122,Khun,Spieker,M,1965-01-04,1989-05-22,40000,Engineer,1995-05-07,9999-01-01,9999-01-01,d004,d004,Production
239664,Sugwoo,Michaels,F,1965-01-04,1992-08-02,40000,Senior Engineer,1999-08-03,9999-01-01,9999-01-01,d004,d004,Production
253893,Huiqun,Trystram,M,1965-01-04,1993-05-10,44376,Senior Engineer,1993-05-10,9999-01-01,9999-01-01,d004,d004,Production
85702,Udi,Merks,M,1965-01-04,1987-08-22,46279,Engineer,1997-08-15,9999-01-01,9999-01-01,d006,d006,Quality Management
276027,Holgard,Stavenow,F,1965-01-04,1986-02-28,40000,Senior Staff,1995-02-28,9999-01-01,9999-01-01,d008,d008,Research
207401,Shuji,Barbanera,M,1965-01-04,1987-08-10,47070,Senior Staff,1993-08-09,9999-01-01,9999-01-01,d008,d008,Research
494995,Yongmao,Pouyioutas,F,1965-01-04,1989-08-24,61003,Senior Staff,1996-08-24,9999-01-01,9999-01-01,d007,d007,Sales
246764,Shuzo,Czaja,M,1965-01-04,1985-02-16,71627,Staff,1997-11-29,9999-01-01,9999-01-01,d007,d007,Sales
293752,Jungsoon,Bail,F,1965-01-04,1986-02-18,60081,Senior Staff,1994-02-18,9999-01-01,9999-01-01,d007,d007,Sales
58819,Gennady,Liesche,F,1965-01-04,1987-12-02,71147,Senior Staff,1987-12-02,9999-01-01,9999-01-01,d007,d007,Sales
21909,Mohammed,Brizzi,M,1965-01-04,1991-12-28,60302,Senior Staff,1998-12-28,9999-01-01,9999-01-01,d007,d007,Sales
24394,Zhonghui,Conta,M,1965-01-04,1986-02-01,55035,Staff,1994-09-10,9999-01-01,9999-01-01,d007,d007,Sales
91415,Jamaludin,Nilsson,M,1965-01-04,1987-01-15,50426,Senior Staff,1994-01-15,9999-01-01,9999-01-01,d007,d007,Sales
423350,Heping,Monarch,F,1965-01-04,1988-04-15,45927,Senior Staff,1993-04-15,9999-01-01,9999-01-01,d007,d007,Sales
420759,Raimond,Solovay,M,1965-01-04,1996-02-13,55608,Staff,1997-10-03,9999-01-01,9999-01-01,d007,d007,Sales
41609,Yucai,Simmen,F,1965-01-04,1987-10-13,60396,Senior Staff,1987-10-13,9999-01-01,9999-01-01,d007,d007,Sales
243576,Abdulah,Lodder,M,1965-01-04,1986-06-29,60593,Senior Staff,2001-11-10,9999-01-01,9999-01-01,d007,d007,Sales
244873,Arunachalam,Oppitz,M,1965-01-04,1986-05-20,82148,Senior Staff,1994-05-20,9999-01-01,9999-01-01,d007,d007,Sales
